entity_id,Entity_Name,Year_Title,liquidity_group,W1_Forecast,W2_Forecast,W3_Forecast,W4_Forecast,week_start,W1_Available,W2_Available,W3_Available,W4_Available,LP_Available_Count,LP_Volatility,LP_Trend,LP_Avg_Magnitude
11G5,RECYCO,2022/CW51,TRP,-1162313.0,-3769259.0,-53227.0,-2327081.0,2022-12-19,True,True,True,True,4,1592746.7605303738,-388256.0,-1827970.0
11G5,RECYCO,2022/CW52,TRP,-3769259.0,-53227.0,-2327081.0,-2327081.0,2022-12-26,True,True,True,True,4,1535943.5921452325,480726.0,-2119162.0
11G5,RECYCO,2023/CW01,TRP,-3216608.0,-2696134.0,-143831.0,-97959.0,2023-01-02,True,True,True,True,4,1650901.0528704217,1039549.6666666666,-1538633.0
11G5,RECYCO,2023/CW02,TRP,-93794.0,-3172533.0,-347475.0,-434494.0,2023-01-09,True,True,True,True,4,1447539.4912611768,-113566.66666666667,-1012074.0
11G5,RECYCO,2023/CW03,TRP,-3353063.0,-451760.0,-435584.0,-291331.0,2023-01-16,True,True,True,True,4,1481841.5825164984,1020577.3333333334,-1132934.5
11G5,RECYCO,2023/CW04,TRP,-321288.0,-3442966.0,-311091.0,-1719597.0,2023-01-23,True,True,True,True,4,1485002.145110572,-466103.0,-1448735.5
11G5,RECYCO,2023/CW05,TRP,-761113.0,-373719.0,-1969861.0,-113441.0,2023-01-30,True,True,True,True,4,821194.9624465962,215890.66666666666,-804533.5
11G5,RECYCO,2023/CW06,TRP,-930753.0,-2548624.0,-55340.0,-3568678.0,2023-02-06,True,True,True,True,4,1579636.613503535,-879308.3333333334,-1775848.75
11G5,RECYCO,2023/CW07,TRP,-3175581.0,-123743.0,-3530862.0,-144767.0,2023-02-13,True,True,True,True,4,1864142.2180090186,1010271.3333333334,-1743738.25
11G5,RECYCO,2023/CW08,TRP,-236502.0,-3708519.0,-121387.0,-1876510.0,2023-02-20,True,True,True,True,4,1684785.0866458705,-546669.3333333334,-1485729.5
11G5,RECYCO,2023/CW09,TRP,-3790754.0,-256924.0,-2069131.0,-114116.0,2023-02-27,True,True,True,True,4,1734362.976042669,1225546.0,-1557731.25
11G5,RECYCO,2023/CW10,TRP,-373383.0,-2152021.0,-3777160.0,-338073.0,2023-03-06,True,True,True,True,4,1645936.9496446648,11770.0,-1660159.25
11G5,RECYCO,2023/CW11,TRP,-2312772.0,-273447.0,-3984676.0,-63091.0,2023-03-13,True,True,True,True,4,1853183.596139447,749893.6666666666,-1658496.5
11G5,RECYCO,2023/CW12,TRP,-500634.0,-4109255.0,-81284.0,-2130553.0,2023-03-20,True,True,True,True,4,1830162.8185015852,-543306.3333333334,-1705431.5
11G5,RECYCO,2023/CW13,TRP,-4733265.0,-136552.0,-2268152.0,-154612.0,2023-03-27,True,True,True,True,4,2182920.6707365518,1526217.6666666667,-1823145.25
