entity_id,liquidity_group,week_start,amount_eur,amount_mean,amount_std,txn_count,amount_min,amount_max,amount_abs_sum,amount_abs_mean,is_month_start_max,is_month_end_max,is_quarter_start_max,is_quarter_end_max,is_year_start_max,is_year_end_max,is_weekend_sum,rolling_7d_sum_last,rolling_7d_mean_last,rolling_7d_std_last,rolling_7d_count_last,rolling_14d_sum_last,rolling_14d_mean_last,rolling_14d_std_last,rolling_14d_count_last,rolling_30d_sum_last,rolling_30d_mean_last,rolling_30d_std_last,rolling_30d_count_last,dow_0_avg_amount_mean,dow_1_avg_amount_mean,dow_2_avg_amount_mean,dow_3_avg_amount_mean,dow_4_avg_amount_mean,dow_5_avg_amount_mean,dow_6_avg_amount_mean,week_year,week_number,month,quarter,year
V751,TRR,2022-05-23,3989188.33,35302.551592920354,60105.63066913882,113,0.2,492871.95,3989188.33,35302.551592920354,False,True,False,False,False,False,0,524648.0599999999,74949.72285714284,63915.49225518274,7.0,974986.17,69641.86928571429,70268.62311466927,14.0,2184925.85,72830.86166666666,101876.86100337193,30.0,19869.302886103374,24938.98014936709,26309.26720565149,25947.355556792878,29296.018814091385,5252.8,7097.783333333333,2022,21,5,2,2022
V751,TRR,2022-05-30,5698978.75,47098.9979338843,104559.54595106495,121,412.8,1100000.0,5698978.75,47098.9979338843,True,True,False,False,False,False,0,199668.61,28524.08714285714,23713.339255215637,7.0,514439.7,36745.69285714286,39344.26755560426,14.0,1005834.2100000001,33527.807,34194.777151468974,30.0,19869.302886103374,24938.98014936709,26309.26720565149,25947.355556792874,29296.018814091385,5252.8,7097.783333333333,2022,22,5,2,2022
V751,TRR,2022-06-06,2966243.87,25571.067844827587,31944.693125902213,116,670.1,157995.26,2966243.87,25571.067844827587,False,False,False,False,False,False,0,249035.22999999998,35576.46142857143,43326.3738215755,7.0,566620.98,40472.927142857145,43606.83002560657,14.0,762731.35,25424.378333333334,34759.18664838416,30.0,19869.302886103374,24938.98014936709,26309.26720565149,25947.355556792874,29296.018814091385,5252.8,7097.783333333333,2022,23,6,2,2022
V751,TRR,2022-06-13,2992144.0,25794.344827586207,32095.458066697647,116,130.0,194945.53,2992144.0,25794.344827586207,False,False,False,False,False,False,0,199945.71999999997,28563.67428571428,35147.36715161353,7.0,434918.43999999994,31065.602857142854,29448.351437495097,14.0,708327.95,23610.931666666664,24620.734650115126,30.0,19869.302886103374,24938.98014936709,26309.26720565149,25947.355556792874,29296.018814091385,5252.8,7097.783333333333,2022,24,6,2,2022
V751,TRR,2022-06-20,3244761.31,30902.488666666668,52994.22886178238,105,79.43,485286.17,3244761.31,30902.488666666668,False,False,False,False,False,False,0,130840.47,18691.495714285713,24804.806335891655,7.0,307235.06,21945.36142857143,21001.852352916798,14.0,919929.9600000001,30664.332000000002,33481.79099299649,30.0,19869.302886103374,24938.98014936709,26309.26720565149,25947.35555679287,29296.018814091385,5252.8,7097.783333333334,2022,25,6,2,2022
V751,TRR,2022-06-27,8059638.71,46587.50699421965,125379.66186745468,173,748.07,1500000.0,8059638.71,46587.50699421965,True,True,True,True,False,False,0,1655250.79,236464.39857142858,557497.8705401662,7.0,2123086.36,151649.0257142857,392784.9618847868,14.0,2824986.42,94166.21399999999,270862.2065761589,30.0,19869.302886103374,24938.980149367086,26309.26720565149,25947.355556792874,29296.01881409139,5252.8,7097.783333333333,2022,26,6,2,2022
V751,TRR,2022-07-04,2469184.17,26267.91670212766,35891.15366493458,94,2677.9,300773.65,2469184.17,26267.91670212766,True,False,True,False,False,False,0,178203.03,25457.575714285715,23074.50245790814,7.0,321819.9099999998,22987.136428571415,19354.193631293718,14.0,611373.66,20379.122,16462.491418867365,30.0,19869.302886103374,24938.98014936709,26309.26720565149,25947.35555679287,29296.01881409139,5252.8,7097.783333333333,2022,27,7,3,2022
V751,TRR,2022-07-11,3789441.97,27262.17244604317,31875.19420420595,139,157.98,239033.62,3789441.97,27262.17244604317,False,False,False,False,False,False,0,211483.87,30211.981428571427,30971.1381201804,7.0,269550.8199999997,19253.62999999998,23993.806646591103,14.0,824146.54,27471.551333333333,32465.67842632343,30.0,19869.302886103374,24938.98014936709,26309.26720565149,25947.355556792874,29296.018814091385,5252.8,7097.783333333333,2022,28,7,3,2022
V751,TRR,2022-07-18,3157122.04,30952.1768627451,55968.123104844904,102,993.82,516345.26,3157122.04,30952.1768627451,False,False,False,False,False,False,0,274328.59,39189.798571428575,23952.423068591204,7.0,380802.21999999974,27200.158571428554,22570.70876902075,14.0,763104.1900000001,25436.806333333334,27042.183063090706,30.0,19869.302886103374,24938.98014936709,26309.26720565149,25947.355556792878,29296.018814091385,5252.8,7097.783333333333,2022,29,7,3,2022
V751,TRR,2022-07-25,6678865.02,39755.14892857143,67886.99152320813,168,715.2,711583.73,6678865.02,39755.14892857143,False,True,False,False,False,False,0,225016.34,32145.191428571427,26308.80207295602,7.0,1193475.8099999996,85248.27214285711,189732.54175101785,14.0,1838207.6400000001,61273.588,132592.37789605116,30.0,19869.302886103374,24938.98014936709,26309.26720565149,25947.355556792874,29296.01881409139,5252.8,7097.783333333333,2022,30,7,3,2022
